toxic-rest-0	把这帮小自贤孙虫报	把这帮孝子贤孙冲爆	[(4, '孝'), (5, '子'), (8, '冲'), (9, '爆')]
toxic-rest-118	铜之！请问有没有男权交流群，我要加入其中	同志！请问有没有男权交流群，我要加入其中	[(1, '同'), (2, '志')]
toxic-rest-119	大全的都是底层的去罢了，被上面的人当足宰，还主动替主子说话，但凡有点脑子的根本不会去大全	打拳的都是底层的蛆罢了，被上面的人当猪宰，还主动替主子说话，但凡有点脑子的根本不会去打拳	[(1, '打'), (2, '拳'), (9, '蛆'), (19, '猪'), (43, '打'), (44, '拳')]
toxic-rest-120	黑人的运动能力暨肋的很	黑人的运动能力鸡肋的很	[(8, '鸡')]
toxic-rest-121	毕竟喊着扑新难的大人教出来的哈哈	毕竟喊着普信男的大人教出来的哈哈	[(5, '普'), (6, '信'), (7, '男')]
toxic-rest-122	我的言论我的言论，我最后一句说了，这才是"我"看不起的，大家发表的都是自己的想法，难免会产生误会和不统一，你的文章让我看出来的是，你一开始讨论的是莫，“有一点我就很迷惑了，为什么网络上的男士们似乎对所有女人都抱有深深的恶意？”然后你一张截图甩上来，开始评价郭楠了，反驳郭楠了，你都说所有了，你都在亿办自大四我们的所有郭楠了啊，最后又说极端什么的，我们哪极端啦，一开始不是极端女引起来的咩，本来就团结的很，咋就不团结了呀，所以你这篇文，给人看的感觉就是你讨论的莫好好的，咋就抨击起我们可爱又无助的郭楠来了，我们哪真的是楠区啊....😓😓😓咋，还要形成一个对比呀？对了顺便问你一句，假如你最最最最好的好姐妹，真的和莫在一起了，但是你也不了解那个莫，然后他们一起回非洲，你真的是不动声色？不加以劝阻？😆😆😆任由她去非洲大陆呗？难道不要让她清醒清醒嘛？	我的言论我的言论，我最后一句说了，这才是"我"看不起的，大家发表的都是自己的想法，难免会产生误会和不统一，你的文章让我看出来的是，你一开始讨论的是默，“有一点我就很迷惑了，为什么网络上的男士们似乎对所有女人都抱有深深的恶意？”然后你一张截图甩上来，开始评价郭楠了，反驳郭楠了，你都说所有了，你都在一棒子打死我们的所有郭楠了啊，最后又说极端什么的，我们哪极端啦，一开始不是极端女引起来的咩，本来就团结的很，咋就不团结了呀，所以你这篇文，给人看的感觉就是你讨论的默好好的，咋就抨击起我们可爱又无助的郭楠来了，我们哪真的是楠蛆啊....😓😓😓咋，还要形成一个对比呀？对了顺便问你一句，假如你最最最最好的好姐妹，真的和默在一起了，但是你也不了解那个默，然后他们一起回非洲，你真的是不动声色？不加以劝阻？😆😆😆任由她去非洲大陆呗？难道不要让她清醒清醒嘛？	[(74, '默'), (149, '一'), (150, '棒'), (151, '子'), (152, '打'), (153, '死'), (230, '默'), (260, '蛆'), (306, '默'), (321, '默')]
toxic-rest-123	当时，一个喊铜者炫耀自己骗了一位同性恋，内容就在图里，其行为之恶劣令人发指。居然强行为喊铜者开脱，并且随意污蔑这位受害者，试问哪个有良心的人能干得出来？	当时，一个反同者炫耀自己骗了一位同性恋，内容就在图里，其行为之恶劣令人发指。居然强行为反同者开脱，并且随意污蔑这位受害者，试问哪个有良心的人能干得出来？	[(6, '反'), (7, '同'), (44, '反'), (45, '同')]
toxic-rest-124	很好的一个对率全的分析，	很好的一个对女拳的分析，	[(7, '女'), (8, '拳')]
toxic-rest-125	因为及汤作者一半以上是女性。	因为鸡汤作者一半以上是女性。	[(3, '鸡')]
toxic-rest-126	喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓难券来无差别攻击全体女性	喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性	[(35, '男'), (36, '拳')]
toxic-rest-127	力马养你这么大，你这样说她我觉得你丢人，她当初不如把你丢掉，没哪个父母不爱自己的孩子都，她这样说一定事出有因，倒是你，真的不懂事	你妈养你这么大，你这样说她我觉得你丢人，她当初不如把你丢掉，没哪个父母不爱自己的孩子都，她这样说一定事出有因，倒是你，真的不懂事	[(1, '你'), (2, '妈')]
toxic-rest-128	一般闲得蛋疼的大概率是朱精	一般闲得蛋疼的大概率是猪精	[(12, '猪')]
toxic-rest-129	数百年后，一黑色皮肤小孩指着照片对爸爸说“我听说黄色皮肤才是正宗的中国人”，男子听了后笑了笑道:“黑批肤，卷头发，黑眼睛”才是正宗华夏人，小孩听后，笑了笑道“哦，元来那些黄皮肤才是异种啊，我长大一定要把他们驱赶出我们的国家”，男子会心一笑“好孩子”。😭	数百年后，一黑色皮肤小孩指着照片对爸爸说“我听说黄色皮肤才是正宗的中国人”，男子听了后笑了笑道:“黑皮肤，卷头发，黑眼睛”才是正宗华夏人，小孩听后，笑了笑道“哦，原来那些黄皮肤才是异种啊，我长大一定要把他们驱赶出我们的国家”，男子会心一笑“好孩子”。😭	[(51, '皮'), (82, '原')]
toxic-rest-130	跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国女都梅嗨了，	跟本不可能的事你在这杞人忧天啥，别看几个新闻就以为国女都媚黑了，	[(29, '媚'), (30, '黑')]
toxic-rest-131	又是个黒砸	又是个黒杂	[(5, '杂')]
toxic-rest-132	就算她不拿刀你就能打得过180斤起步的母堂可?	就算她不拿刀你就能打得过180斤起步的母坦克?	[(21, '坦'), (22, '克')]
toxic-rest-133	钕圈的智商真是编故事都漏洞百出啊。首先元来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到小先女去摘呢	女拳的智商真是编故事都漏洞百出啊。首先原来黄精灵体力弱不是事情是编造出来的，建议去奥运会证明自己呦。其次黄精灵真的希望每个人都摘50个果子吗？矿场，工地里一大堆果子怎么没见到小仙女去摘呢	[(1, '女'), (2, '拳'), (20, '原'), (89, '仙')]
toxic-rest-134	知乎很多东北人喜欢代表北方，挑起南北对立，把东北出现的负面新闻甩锅给南方人或南方系，反正不夸他们就是在黑它们，长子情怀拉满（我寻思这是他们的父辈付出的努力，要谢也是谢他们的父辈），一旦不符合它们心意或者是戳中要害了，就一口一个男打任，南方系来了。	知乎很多东北人喜欢代表北方，挑起南北对立，把东北出现的负面新闻甩锅给南方人或南方系，反正不夸他们就是在黑它们，长子情怀拉满（我寻思这是他们的父辈付出的努力，要谢也是谢他们的父辈），一旦不符合它们心意或者是戳中要害了，就一口一个南大人，南方系来了。	[(114, '南'), (115, '大'), (116, '人')]
toxic-rest-135	男权：我们反女全不是反女性。女权：所有的男人都没一个好东西。	男权：我们反女拳不是反女性。女权：所有的男人都没一个好东西。	[(8, '拳')]
toxic-rest-136	我特么直接立地成佛	我特么直接立地成佛	[]
toxic-rest-137	无意刷到个视频，视频中女方找男方要彩礼，男方认为有些多，女方就说自己出彩礼，但有要求男方什么都要听自己的，我就在下面评论女方给彩礼向男方提要求，那男方给彩礼是不是也可以提要求？结果没想到回复那么多，大多数讨论还是平和的，只有下图这个小现驴，我就回复她女性嫁给普通人就是吃亏，那就放开一夫多妻，让有钱人多娶，让女性嫁人不吃亏。我为女性考虑，结果还是被骂。我也没有说要废除彩礼，也没有说彩礼要少些，支持婚姻自由，过不下去那就离，男人真是太难了	无意刷到个视频，视频中女方找男方要彩礼，男方认为有些多，女方就说自己出彩礼，但有要求男方什么都要听自己的，我就在下面评论女方给彩礼向男方提要求，那男方给彩礼是不是也可以提要求？结果没想到回复那么多，大多数讨论还是平和的，只有下图这个小仙女，我就回复她女性嫁给普通人就是吃亏，那就放开一夫多妻，让有钱人多娶，让女性嫁人不吃亏。我为女性考虑，结果还是被骂。我也没有说要废除彩礼，也没有说彩礼要少些，支持婚姻自由，过不下去那就离，男人真是太难了	[(118, '仙'), (119, '女')]
toxic-rest-138	住溜溜就是这样，讲不赢就拉黑然后自己编故事你这只住溜溜搞那么多小号还凉面都吃不起我第一次见住溜溜这样辟谣的笑死我了	猪溜溜就是这样，讲不赢就拉黑然后自己编故事你这只猪溜溜搞那么多小号还凉面都吃不起我第一次见猪溜溜这样辟谣的笑死我了	[(1, '猪'), (25, '猪'), (46, '猪')]
toxic-rest-139	被人喜欢不是一件值得高兴的事吗？人家好像也没有扫扰你吧🤔	被人喜欢不是一件值得高兴的事吗？人家好像也没有骚扰你吧🤔	[(24, '骚')]
toxic-rest-140	以前有个爱购人士的ID，支持黑人	以前有个爱狗人士的ID，支持黑人	[(6, '狗')]
toxic-rest-141	我叫周阴婷，是一名已婚妇女，我的老公是一名社会精英，我们有两个孩子，我们的日子本来很幸福美满。直到有一天我老公出去应酬之后他便对我开始冷淡起来，甚至连jj都不肯给我了，最后我发现他竟然在外面有了一个男人！之后我跟他大吵一架，于是我们便离婚了，现在两个孩子是我带，从这一刻起我便知道同性恋是可耻的！是错误的！是会破坏世界的！所以从今天开始我会加入防通组织和同性恋对抗到底直到同性恋全部死掉	我叫周阴婷，是一名已婚妇女，我的老公是一名社会精英，我们有两个孩子，我们的日子本来很幸福美满。直到有一天我老公出去应酬之后他便对我开始冷淡起来，甚至连jj都不肯给我了，最后我发现他竟然在外面有了一个男人！之后我跟他大吵一架，于是我们便离婚了，现在两个孩子是我带，从这一刻起我便知道同性恋是可耻的！是错误的！是会破坏世界的！所以从今天开始我会加入反同组织和同性恋对抗到底直到同性恋全部死掉	[(173, '反'), (174, '同')]
toxic-rest-142	作为一个普通人，我们虽然平时能看见黑人，但是基本上不会有交集，八竿子打不着。难不成我看见一个女的跟黑人走在一起就要骂她？？这不甚净病吗？	作为一个普通人，我们虽然平时能看见黑人，但是基本上不会有交集，八竿子打不着。难不成我看见一个女的跟黑人走在一起就要骂她？？这不神经病吗？	[(64, '神'), (65, '经')]
toxic-rest-143	东南亚对中国男应该满友好 欧美发达国家女生对中国男… 我说各位要提高个人魅力主动一些 不光是钱 怎么了？当然不能像你一样 素质要高一些 可惜很多人都不能在自己身上找元因啊	东南亚对中国男应该蛮友好 欧美发达国家女生对中国男… 我说各位要提高个人魅力主动一些 不光是钱 怎么了？当然不能像你一样 素质要高一些 可惜很多人都不能在自己身上找原因啊	[(10, '蛮'), (83, '原')]
toxic-rest-144	感觉你的回答是最真实的，没人有这个闲功夫去皮判😅	感觉你的回答是最真实的，没人有这个闲功夫去批判😅	[(22, '批')]
toxic-rest-145	男性还好，女性是真得小心这种女的。之前有个新闻，一个谈了黑人男友的女1劈腿了，女1为了安慰她的黑人男友，把她闺蜜女2骗到宾馆配合黑人墙键叁皮。完事把女2拿刀捅伤后这两还畏罪跳楼。这种女的是没有智商、底线和道德的。	男性还好，女性是真得小心这种女的。之前有个新闻，一个谈了黑人男友的女1劈腿了，女1为了安慰她的黑人男友，把她闺蜜女2骗到宾馆配合黑人墙键叁批。完事把女2拿刀捅伤后这两还畏罪跳楼。这种女的是没有智商、底线和道德的。	[(70, '批')]
toxic-rest-146	这个是整版远图，去P我们的只有用其中一块	这个是整版原图，去P我们的只有用其中一块	[(6, '原')]
toxic-rest-147	熊住太多了，来点肌肉型男	熊猪太多了，来点肌肉型男	[(2, '猪')]
toxic-rest-148	我还真的信，河南那一圈，因为河南黄河被绝口，河南人四面都有逃难，所以，陕西河北山东山西都有黑，现在陕西是主力了，因为两省利益问题，河北和河南口音不仔细注意着，可能分不清，就像我以前一直以为王宝强是我们河南的😅，山西以前也是有钱，现在老实了，山东和河南关系一直说还行吧，现在经济北方老大和老二，安徽关系算是最好，特别是皖北，湖北因为两个省会元因，也是互骂的厉害	我还真的信，河南那一圈，因为河南黄河被绝口，河南人四面都有逃难，所以，陕西河北山东山西都有黑，现在陕西是主力了，因为两省利益问题，河北和河南口音不仔细注意着，可能分不清，就像我以前一直以为王宝强是我们河南的😅，山西以前也是有钱，现在老实了，山东和河南关系一直说还行吧，现在经济北方老大和老二，安徽关系算是最好，特别是皖北，湖北因为两个省会原因，也是互骂的厉害	[(170, '原')]
toxic-rest-149	同性恋应该选中立至少不会出来恶形人，同性恋者选中立做深柜才有可能改邪归正	同性恋应该选中立至少不会出来恶心人，同性恋者选中立做深柜才有可能改邪归正	[(16, '心')]
toxic-rest-150	混血儿过去不是叫砸中么	混血儿过去不是叫杂种么	[(9, '杂'), (10, '种')]
toxic-rest-151	以偏概全了，什么叫底层人的思维，地位低就必须鼠目寸光吗。就是剥削者，小老板 一样有地域偏见的。嘲讽别人的刻板印象自己却也在偏见，我还见过读过大学的老人一样在捡拉级呢。什么样的思维看人的想思不是看地位。	以偏概全了，什么叫底层人的思维，地位低就必须鼠目寸光吗。就是剥削者，小老板 一样有地域偏见的。嘲讽别人的刻板印象自己却也在偏见，我还见过读过大学的老人一样在捡垃圾呢。什么样的思维看人的想思不是看地位。	[(80, '垃'), (81, '圾')]
toxic-rest-152	计划生育80年代发生的。我们这大概70年代末（乡下）。所以我们这80-90几乎都是独生子女，不论城市还是乡下。我同学里有兄弟姐妹的屈指可数。这里是东部沿海，如今当地人口稀少，本地人特别少。分配财产子女都有份。我父母那代就不存在重男轻女（他们60后），也不存在全职太太。所以中国很大，很多事情我是成年后到其他地方才知道是真的。所以也意识到好像女全打的世界和我认知的不太一样。她们或真的生在水深火热，或只是根据别人的经历达全。	计划生育80年代发生的。我们这大概70年代末（乡下）。所以我们这80-90几乎都是独生子女，不论城市还是乡下。我同学里有兄弟姐妹的屈指可数。这里是东部沿海，如今当地人口稀少，本地人特别少。分配财产子女都有份。我父母那代就不存在重男轻女（他们60后），也不存在全职太太。所以中国很大，很多事情我是成年后到其他地方才知道是真的。所以也意识到好像女拳打的世界和我认知的不太一样。她们或真的生在水深火热，或只是根据别人的经历打拳。	[(172, '拳'), (209, '打'), (210, '拳')]
toxic-rest-153	我不歧视黑人，但是我歧视没飞的人。	我不歧视黑人，但是我歧视媚黑的人。	[(13, '媚'), (14, '黑')]
toxic-rest-154	大家可以多混浑黑界和喷系，学学滚刀词汇，练练打字速度。也最好多了解学习一下语言学，逻辑学，辩论学，这些可以帮助大家出征仇男雌教膜真教徒更添一笔整体战斗力和攻击值！	大家可以多混混黑界和喷系，学学滚刀词汇，练练打字速度。也最好多了解学习一下语言学，逻辑学，辩论学，这些可以帮助大家出征仇男雌教魔怔教徒更添一笔整体战斗力和攻击值！	[(7, '混'), (64, '魔'), (65, '怔')]
toxic-rest-155	右边的小老头就是表们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白	右边的小老头就是婊们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白	[(9, '婊')]
toxic-rest-156	搞不懂这些人看母型型能有情欲？	搞不懂这些人看母猩猩能有情欲？	[(9, '猩'), (10, '猩')]
toxic-rest-157	麻烦你下回举证用：江桥抗战，国际公认反发系死战争第一枪！	麻烦你下回举证用：江桥抗战，国际公认反法西斯战争第一枪！	[(20, '法'), (21, '西'), (22, '斯')]
toxic-rest-158	哈哈，吃饱够肉就溜了？	哈哈，吃饱狗肉就溜了？	[(6, '狗')]
toxic-rest-159	方皮的时候还会用手把屁罩住，然后放在同学鼻子前把手松开，然后同学就会闻到屁味，这是我独家发明的整人招数，然后我同学也会这样报复我。我还会把头皮屑挠出一桌子，然后包在纸里送给女同学，然后看她们嫌弃的反应特别好玩。后来毕业的时候发现被我整得最多的女同桌元来一直暗恋我	放屁的时候还会用手把屁罩住，然后放在同学鼻子前把手松开，然后同学就会闻到屁味，这是我独家发明的整人招数，然后我同学也会这样报复我。我还会把头皮屑挠出一桌子，然后包在纸里送给女同学，然后看她们嫌弃的反应特别好玩。后来毕业的时候发现被我整得最多的女同桌原来一直暗恋我	[(1, '放'), (2, '屁'), (125, '原')]
toxic-rest-160	微博撒卵玩意非伍木人是这样的	微博傻卵玩意废物木人是这样的	[(3, '傻'), (7, '废'), (8, '物')]
toxic-rest-161	不然姆人是怎么诞生的？	不然幕刃是怎么诞生的？	[(3, '幕'), (4, '刃')]
toxic-rest-162	超过西周？？？我说是放P。西周早就发明文字了，黑人什么时候有过文字？到现在还有元始社会。	超过西周？？？我说是放P。西周早就发明文字了，黑人什么时候有过文字？到现在还有原始社会。	[(40, '原')]
toxic-rest-163	她们才是蒲新女	她们才是普信女	[(5, '普'), (6, '信')]
toxic-rest-164	那也不一定，只是说直男莫认你是直男，所以在涉及这些话题的时候会象征性地跟随一下“大流”罢了，要真说直男有多讨厌弯男，我没怎么觉得，没影响到自己基本上都无所谓，一会儿甚至就忘了	那也不一定，只是说直男默认你是直男，所以在涉及这些话题的时候会象征性地跟随一下“大流”罢了，要真说直男有多讨厌弯男，我没怎么觉得，没影响到自己基本上都无所谓，一会儿甚至就忘了	[(12, '默')]
toxic-rest-165	就这货现在是以中花天元全和萌宠见闻和夹你和hefggdΩ和众多小号出现在各大平台里	就这货现在是以中华田园犬和萌宠见闻和夹你和hefggdΩ和众多小号出现在各大平台里	[(9, '华'), (10, '田'), (11, '园'), (12, '犬')]
toxic-rest-166	我觉得很恶新啊，这是心里表现，但是我不会侮辱他们啊，但是我会侮辱宣传txl的，而且是狠狠的侮辱😄	我觉得很恶心啊，这是心里表现，但是我不会侮辱他们啊，但是我会侮辱宣传txl的，而且是狠狠的侮辱😄	[(6, '心')]
toxic-rest-167	装成女人来骗那群贵难来舔啊，这就是最简单的方法了	装成女人来骗那群龟男来舔啊，这就是最简单的方法了	[(9, '龟'), (10, '男')]
toxic-rest-168	拟吗确实不如你姐	你妈确实不如你姐	[(1, '你'), (2, '妈')]
toxic-rest-169	下说，去非洲感受一下才有发言权，这答主都没去过非洲肯定下说的，你要相信自己，一定要自己去感受一下才行😎	瞎说，去非洲感受一下才有发言权，这答主都没去过非洲肯定瞎说的，你要相信自己，一定要自己去感受一下才行😎	[(1, '瞎'), (28, '瞎')]
toxic-rest-170	就是 我这边 以前有个难统专门杀同性恋的 说是被他们那个群体逼成这样的	就是 我这边 以前有个男同专门杀同性恋的 说是被他们那个群体逼成这样的	[(12, '男'), (13, '同')]
toxic-rest-171	是不是穷人家因为家徒四壁就不应该设置防盗门了。同性恋是贼穷人家也是人，不管怎么都应该提防便太及老	是不是穷人家因为家徒四壁就不应该设置防盗门了。同性恋是贼穷人家也是人，不管怎么都应该提防变态基佬	[(45, '变'), (46, '态'), (47, '基'), (48, '佬')]
toxic-rest-172	拿个例出来说有意思？我在现实中看到的每嗨女就一个，黑人我见了有几十个，确实大部分女生根本看不上黑人啊，楼主说的哪里有毛病？还有那三陪一是政策问题吧	拿个例出来说有意思？我在现实中看到的媚黑女就一个，黑人我见了有几十个，确实大部分女生根本看不上黑人啊，楼主说的哪里有毛病？还有那三陪一是政策问题吧	[(19, '媚'), (20, '黑')]
toxic-rest-173	别想多了，有多少中国女性会嫁黑人？反正我从来没遇见到过。在者，你会娶精黑女？。	别想多了，有多少中国女性会嫁黑人？反正我从来没遇见到过。在者，你会娶精黑女？。	[]
toxic-rest-174	抹抹太恶新了，受不了😱	默默太恶心了，受不了😱	[(1, '默'), (2, '默'), (5, '心')]
toxic-rest-175	哀其不幸，怒其不争，这男的真该，头顶绿得发黑了还元谅呢，别人劝了不听，自食其果，还发在网上…无语	哀其不幸，怒其不争，这男的真该，头顶绿得发黑了还原谅呢，别人劝了不听，自食其果，还发在网上…无语	[(25, '原')]
toxic-rest-176	非洲人以家暴为荣，女人地位比铝都低，婚外约pao，养不起家的就直接跑路，艾滋率1/3。在票两过黑人人口占15%，却贡献了55%的犯罪事件。这种高级人才才配得上那些小线女，而且我们没有嫁了人还留娘家的习惯，快去非洲追求真爱吧	非洲人以家暴为荣，女人地位比驴都低，婚外约pao，养不起家的就直接跑路，艾滋率1/3。在漂亮国黑人人口占15%，却贡献了55%的犯罪事件。这种高级人才才配得上那些小仙女，而且我们没有嫁了人还留娘家的习惯，快去非洲追求真爱吧	[(15, '驴'), (45, '漂'), (46, '亮'), (47, '国'), (83, '仙')]
toxic-rest-177	转：非洲分为撒哈拉地区和撒哈拉南的地区。撒哈拉地区很早就脱离了元始文明了，早期有埃及文明以及后来的腓尼基人，后来该地区又先后成为了亚历山大马其顿帝国，罗马共和国帝国，阿拉伯帝国，奥斯曼帝国的领土，近代时受到欧洲势力的殖民或半殖民，直到近几十年纷纷独立为现在的一个个国家。撒哈拉以南的嗨费州地区，长期处于部落或部落联盟的文明水平，没有成型的系统的文字，没有国家民族概念的形成，直到几百年前被西方殖民者入侵，才接触的现代文明，最终有了民族的概念，后来被西方殖民后在近几十年独立后产生了现代的国家。黑人多数是南非洲，几百年前是部落文明，元始社会，没有文字。没有历史北非洲很少黑人，黄种人白种人有历史，有文明	转：非洲分为撒哈拉地区和撒哈拉南的地区。撒哈拉地区很早就脱离了原始文明了，早期有埃及文明以及后来的腓尼基人，后来该地区又先后成为了亚历山大马其顿帝国，罗马共和国帝国，阿拉伯帝国，奥斯曼帝国的领土，近代时受到欧洲势力的殖民或半殖民，直到近几十年纷纷独立为现在的一个个国家。撒哈拉以南的黑非洲地区，长期处于部落或部落联盟的文明水平，没有成型的系统的文字，没有国家民族概念的形成，直到几百年前被西方殖民者入侵，才接触的现代文明，最终有了民族的概念，后来被西方殖民后在近几十年独立后产生了现代的国家。黑人多数是南非洲，几百年前是部落文明，原始社会，没有文字。没有历史北非洲很少黑人，黄种人白种人有历史，有文明	[(32, '原'), (142, '黑'), (143, '非'), (144, '洲'), (266, '原')]
toxic-rest-178	万一它们是体重两百的谈可呢？当然不输普通男性。一般100斤左右的力气是比不过一般男性的。	万一它们是体重两百的坦克呢？当然不输普通男性。一般100斤左右的力气是比不过一般男性的。	[(11, '坦'), (12, '克')]
toxic-rest-179	全四攻占大学，目的是把男性排挤出高等教育，从而坐稳高位	拳师攻占大学，目的是把男性排挤出高等教育，从而坐稳高位	[(1, '拳'), (2, '师')]
toxic-rest-180	吴施蒙事件，她前夫张哥也不知道是祖上造了什么涅，好好的结个婚，就一顶顶黑帽戴得天下皆知，闻名遐迩。最后离婚了失业了抑郁了	吴施蒙事件，她前夫张哥也不知道是祖上造了什么孽，好好的结个婚，就一顶顶黑帽戴得天下皆知，闻名遐迩。最后离婚了失业了抑郁了	[(23, '孽')]
toxic-rest-181	什么玩意儿。反正我身边的漂亮女同学都跟我玩儿得挺好的，也都很有素质，我也没见过什么乱七八糟的女全行为啊。少上网，各位。	什么玩意儿。反正我身边的漂亮女同学都跟我玩儿得挺好的，也都很有素质，我也没见过什么乱七八糟的女拳行为啊。少上网，各位。	[(48, '拳')]
toxic-rest-182	有些gay努力奋斗却依然挣扎在追求自己美好生活的路上，为了顾及多病的父母，用终身不婚的单身贵族形象搪塞了家人，为了找到愿意安安稳稳过日子的那个他，从不约p，被同为gay的圈内人说成是表面甚亩摆连花私底下放荡的伪纯洁，被异性恋朋友说成长不大要求高不现实的大龄单身构，我们活着好难，这时候如果有一个人跟我说朋友我不反对你找同性，但是我恶新你们，我可能不会多生你的气，但我肯定高兴不到哪儿去。	有些gay努力奋斗却依然挣扎在追求自己美好生活的路上，为了顾及多病的父母，用终身不婚的单身贵族形象搪塞了家人，为了找到愿意安安稳稳过日子的那个他，从不约p，被同为gay的圈内人说成是表面圣母白莲花私底下放荡的伪纯洁，被异性恋朋友说成长不大要求高不现实的大龄单身狗，我们活着好难，这时候如果有一个人跟我说朋友我不反对你找同性，但是我恶心你们，我可能不会多生你的气，但我肯定高兴不到哪儿去。	[(94, '圣'), (95, '母'), (96, '白'), (97, '莲'), (131, '狗'), (167, '心')]
toxic-rest-183	为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的扣去女权比例不大吧？为什么要所有中国女性背锅	为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅	[(31, '口'), (32, '区')]
toxic-rest-184	长得越漂亮越觉得恶芯	长得越漂亮越觉得恶心	[(10, '心')]
toxic-rest-185	吧友们帮我骂个慕女沟，打女全的沟男硬是想被亩仍当沟玩，真丢脸	吧友们帮我骂个慕女狗，打女拳的狗男硬是想被幕刃当狗玩，真丢脸	[(10, '狗'), (14, '拳'), (16, '狗'), (22, '幕'), (23, '刃'), (25, '狗')]
toxic-rest-186	没必要问元因，因为那不重要。	没必要问原因，因为那不重要。	[(5, '原')]
toxic-rest-187	挺烦的，一直就想封了那个啥比，ww什么的	挺烦的，一直就想封了那个傻逼，ww什么的	[(13, '傻'), (14, '逼')]
toxic-rest-188	艾滋这事儿真的是国内最失败的一次舆论败仗，在早期大家从老港片以及一些西方影片中了解到艾滋，并且知道了艾滋的可怕。后来一通扫操作，现在的年轻人除了深刻的不能歧视艾滋病患者的思维以外，反而许多人却表达出一种对艾滋没有一丝恐惧的情绪，甚至在B站还能看到不断的复制黏贴什么艾滋长期服药传染低寿命长对艾滋的可怕程度不断弱化的言论，我想说你们关注过艾滋病患者的心理负担和对生命社交的绝望吗？不可怕的吗？然后就是取消入境检测。从来不说非洲人这病得病率。这几乎就是性教育的一次倒退，在政治正确和生亩的挟持下的倒退。	艾滋这事儿真的是国内最失败的一次舆论败仗，在早期大家从老港片以及一些西方影片中了解到艾滋，并且知道了艾滋的可怕。后来一通骚操作，现在的年轻人除了深刻的不能歧视艾滋病患者的思维以外，反而许多人却表达出一种对艾滋没有一丝恐惧的情绪，甚至在B站还能看到不断的复制黏贴什么艾滋长期服药传染低寿命长对艾滋的可怕程度不断弱化的言论，我想说你们关注过艾滋病患者的心理负担和对生命社交的绝望吗？不可怕的吗？然后就是取消入境检测。从来不说非洲人这病得病率。这几乎就是性教育的一次倒退，在政治正确和圣母的挟持下的倒退。	[(61, '骚'), (240, '圣'), (241, '母')]
toxic-rest-189	个人认为可以用歪女这个词来指那些多疑、热衷于勾心斗角的女的，虽然在我们传统文化的词汇里面有类似的词语或句子，比如说三个nr一台戏，但是个人认为应该造一个词来反击犬四的诬蔑	个人认为可以用歪女这个词来指那些多疑、热衷于勾心斗角的女的，虽然在我们传统文化的词汇里面有类似的词语或句子，比如说三个nr一台戏，但是个人认为应该造一个词来反击拳虱的诬蔑	[(81, '拳'), (82, '虱')]
toxic-rest-190	元本就是及老的自嘲，还是用淋语说的，结果不知道谁拿去用出基圈了吗？	原本就是基佬的自嘲，还是用淋语说的，结果不知道谁拿去用出基圈了吗？	[(1, '原'), (5, '基'), (6, '佬')]
toxic-rest-191	人照自共早就80年代就成功，微量偏向化基因改造早就有了，因为阻力无法推行。老龄化的人口结构会逼着政府推行此政策。	人造子宫早就80年代就成功，微量偏向化基因改造早就有了，因为阻力无法推行。老龄化的人口结构会逼着政府推行此政策。	[(2, '造'), (3, '子'), (4, '宫')]
toxic-rest-192	差不多，小学的时候班主任也是答权的，男的打女的抄课文，女的打男的p事没有，结果最后一个学期快结束了全班男生起义	差不多，小学的时候班主任也是打拳的，男的打女的抄课文，女的打男的p事没有，结果最后一个学期快结束了全班男生起义	[(15, '打'), (16, '拳')]
toxic-rest-193	这些人淹不死的，应该学校日自，强制充军扛弹药箱搬炮弹	这些人淹不死的，应该学小日子，强制充军扛弹药箱搬炮弹	[(12, '小'), (14, '子')]
toxic-rest-194	这是为了三胎人口，加大力度歧视污名化单身群体吗？这样的词汇单身购，光棍，还有这类贬低单身群体文章，什么各种差，这社会真是曹当ls	这是为了三胎人口，加大力度歧视污名化单身群体吗？这样的词汇单身狗，光棍，还有这类贬低单身群体文章，什么各种差，这社会真是操蛋ls	[(32, '狗'), (61, '操'), (62, '蛋')]
toxic-rest-195	发了个摸贴被这个，看不懂反讽的开小号玩意儿攻击了	发了个默贴被这个，看不懂反讽的开小号玩意儿攻击了	[(4, '默')]
