CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-237	完犊子玩意儿，重过人去美国受歧视就干回去不就完了，呗批休得猖狂	完犊子玩意儿，中国人去美国受歧视就干回去不就完了，白皮休得猖狂	[(8, '中'), (9, '国'), (26, '白'), (27, '皮')]
CHSD-238	在美国，似乎很难找到一个完全跟毒品、暴力、犯罪、酒精隔绝的嗨人。	在美国，似乎很难找到一个完全跟毒品、暴力、犯罪、酒精隔绝的黑人。	[(30, '黑')]
CHSD-239	美国无产阶级大部分是嗨仍，嘿名贵可看不上中国	美国无产阶级大部分是黑人，黑命贵可看不上中国	[(11, '黑'), (12, '人'), (14, '黑'), (15, '命')]
CHSD-240	想想国内。 你不觉得很多追根溯源是因为懒政的问题，都已经转化成了“洋人爹”“率毛子”“广州嗨人”了吗。	想想国内。 你不觉得很多追根溯源是因为懒政的问题，都已经转化成了“洋人爹”“绿帽子”“广州黑人”了吗。	[(39, '绿'), (40, '帽'), (46, '黑')]
CHSD-241	不需要，不娶贪婪的田园率全即可，那些田园率全大可以嫁到外国，别说自己是中过人就行	不需要，不娶贪婪的田园女权即可，那些田园女权大可以嫁到外国，别说自己是中国人就行	[(12, '女'), (13, '权'), (21, '女'), (22, '权'), (37, '国')]
CHSD-242	这里面说的有些事情我在被竟见到过，比如说瞧不起外低人，以衣装看人等等。	这里面说的有些事情我在北京见到过，比如说瞧不起外地人，以衣装看人等等。	[(12, '北'), (13, '京'), (25, '地')]
CHSD-243	中国砂自多，就我这蕴蓝人都会上当，其他人更不用说了，主要是牵马的还是个上了年纪的老农，我都不好意思骂人家骗子，你要是换个年轻点的，我早就喊退钱了…………	中国傻子多，就我这云南人都会上当，其他人更不用说了，主要是牵马的还是个上了年纪的老农，我都不好意思骂人家骗子，你要是换个年轻点的，我早就喊退钱了…………	[(3, '傻'), (4, '子'), (10, '云'), (11, '南')]
CHSD-244	干竞，别理他，一码归一码，这是个人行为，拿到集体上来说事，死传人脾气真好，没喷你	杠精，别理他，一码归一码，这是个人行为，拿到集体上来说事，四川人脾气真好，没喷你	[(1, '杠'), (2, '精'), (30, '四'), (31, '川')]
CHSD-245	本人男铜。 如果只考虑性，双，直男，或者1都可以，是个能让我感性趣的烂仍我都可。	本人男同。 如果只考虑性，双，直男，或者1都可以，是个能让我感性趣的男人我都可。	[(4, '同'), (35, '男'), (36, '人')]
CHSD-246	不要看到“第与黑”这个字就杯弓蛇影，现在和懒人好像特别在意这个，所谓的“第与黑”肯定是有元因的，当看到自家所在地区有一些负面影响时，必须要反躬自问。试问一下，江浙地区和和懒地区的人，哪个地区综合素质高？既然事实存在，就应该正视，虚心接受一下。	不要看到“地域黑”这个字就杯弓蛇影，现在河南人好像特别在意这个，所谓的“地域黑”肯定是有原因的，当看到自家所在地区有一些负面影响时，必须要反躬自问。试问一下，江浙地区和河南地区的人，哪个地区综合素质高？既然事实存在，就应该正视，虚心接受一下。	[(6, '地'), (7, '域'), (21, '河'), (22, '南'), (37, '地'), (38, '域'), (45, '原'), (85, '河'), (86, '南')]
CHSD-247	一个愿打一个愿挨视频里一点反抗都没有，恐怕说女的问题比男的还要大反过来可能还会说毁了她的幸福下盲与毒蛇不必帮	一个愿打一个愿挨视频里一点反抗都没有，恐怕说女的问题比男的还要大反过来可能还会说毁了她的幸福瞎盲与毒蛇不必帮	[(47, '瞎')]
CHSD-248	和难人头璟该?表示从未听说过，不接受	河南人偷井盖?表示从未听说过，不接受	[(1, '河'), (2, '南'), (4, '偷'), (5, '井'), (6, '盖')]
CHSD-249	我好像理解汉人为什么被一些“自己人”总组期司了，这种欧式的大鼻子让我有一种恶新感，刀削一样的外观让面相看起来更凶更有攻击性，而在现在中国普遍的以百人为尊的媚外审美下，这些都是好看的象征，就呵呵俩字	我好像理解汉人为什么被一些“自己人”种族歧视了，这种欧式的大鼻子让我有一种恶心感，刀削一样的外观让面相看起来更凶更有攻击性，而在现在中国普遍的以白人为尊的媚外审美下，这些都是好看的象征，就呵呵俩字	[(19, '种'), (20, '族'), (21, '歧'), (22, '视'), (39, '心'), (73, '白')]
CHSD-250	才貌无双的女子，失贞就是凄苦身世的象征，可以让人怜爱。普通人的失贞，那就是真.恶型	才貌无双的女子，失贞就是凄苦身世的象征，可以让人怜爱。普通人的失贞，那就是真.恶心	[(41, '心')]
CHSD-251	没有字难癌，女券炒热的词汇都是假的。	没有直男癌，女权炒热的词汇都是假的。	[(3, '直'), (4, '男'), (8, '权')]
CHSD-252	难道百忍在国外打雅以就少吗？我们要破除中组其是，而不是加入这种恶新的游戏中。	难道白人在国外打亚裔就少吗？我们要破除种族歧视，而不是加入这种恶心的游戏中。	[(3, '白'), (4, '人'), (9, '亚'), (10, '裔'), (20, '种'), (21, '族'), (22, '歧'), (23, '视'), (33, '心')]
CHSD-253	黑仍犯罪率普遍是最高的，我真搞不懂为什么会有人喜欢关了灯啥都看不见的人[捂脸]而且不怕感让艾滋吗	黑人犯罪率普遍是最高的，我真搞不懂为什么会有人喜欢关了灯啥都看不见的人[捂脸]而且不怕感染艾滋吗	[(2, '人'), (45, '染')]
CHSD-254	难捧有？对不起我是单身够	男朋友？对不起我是单身狗	[(1, '男'), (2, '朋'), (3, '友'), (12, '狗')]
CHSD-255	你也不用再这里嚎，你再嚎个三天三夜，这里所有人也当你反批。你没证没据的拿一句“我是太万人”就想当权威？你也不看看你们诈骗行业占总人口多大比例。谁需要信你一个骗子国人？我还说我是太万教育部的，全部课本都是“士寸”呢。吹水谁不会，少在这里装逼。	你也不用再这里嚎，你再嚎个三天三夜，这里所有人也当你放屁。你没证没据的拿一句“我是台湾人”就想当权威？你也不看看你们诈骗行业占总人口多大比例。谁需要信你一个骗子国人？我还说我是台湾教育部的，全部课本都是“士寸”呢。吹水谁不会，少在这里装逼。	[(27, '放'), (28, '屁'), (42, '台'), (43, '湾'), (89, '台'), (90, '湾')]
CHSD-256	被经那个家暴，女的被打死了，男的被判死刑了吗？前几年反抗抢间导致对方受伤法律怎么判的你下？还有那个轰动一时的玩弄小孩，法律却说是嫖宿幼女罪， 五六岁女还，她怎么去卖逼的？国家这么明目张胆立律，意欲何为？怕是你下到连歧视女型的行为都分辨不出吧	北京那个家暴，女的被打死了，男的被判死刑了吗？前几年反抗强奸导致对方受伤法律怎么判的你瞎？还有那个轰动一时的玩弄小孩，法律却说是嫖宿幼女罪， 五六岁女孩，她怎么去卖逼的？国家这么明目张胆立律，意欲何为？怕是你瞎到连歧视女性的行为都分辨不出吧	[(1, '北'), (2, '京'), (29, '强'), (30, '奸'), (44, '瞎'), (76, '孩'), (105, '瞎'), (111, '性')]
CHSD-257	国内高校低分录取外籍黄宗人应该更值得关注吧	国内高校低分录取外籍黄种人应该更值得关注吧	[(12, '种')]
CHSD-258	帮字和太万佬是最恶型的	棒子和台湾佬是最恶心的	[(1, '棒'), (2, '子'), (4, '台'), (5, '湾'), (10, '心')]
CHSD-259	说到底美国人崇拜强人 李小龙是押已为什么美国人那么崇拜 华人想要摆芘黑归尊重 就要养成受欺负就拔枪轰他的脾气 内部还要团结	说到底美国人崇拜强人 李小龙是亚裔为什么美国人那么崇拜 华人想要白皮黑鬼尊重 就要养成受欺负就拔枪轰他的脾气 内部还要团结	[(16, '亚'), (17, '裔'), (33, '白'), (34, '皮'), (36, '鬼')]
CHSD-260	撒比矮女任	傻逼矮女人	[(1, '傻'), (2, '逼'), (5, '人')]
CHSD-261	这个社会对女新很不友好，很多成功的女新总是被污蔑为灭绝师太，或者是靠色相爬上去的。	这个社会对女性很不友好，很多成功的女性总是被污蔑为灭绝师太，或者是靠色相爬上去的。	[(7, '性'), (19, '性')]
CHSD-262	同学，你可看的懂，我没有帮她，我说的是一群男的网络暴力，我她吗又不认识她。简直无语。	同学，你可看的懂，我没有帮她，我说的是一群男的网络暴力，我他妈又不认识她。简直无语。	[(30, '他'), (31, '妈')]
CHSD-263	我相信性别优缺自有平衡，除非有全是捶我。	我相信性别优缺自有平衡，除非有拳师捶我。	[(16, '拳'), (17, '师')]
CHSD-264	又想起东施效颦的故事，东施被嘲笑只因为她是个丑女，换个美女效颦，必定又是一段佳话，有什么元则可言吗？	又想起东施效颦的故事，东施被嘲笑只因为她是个丑女，换个美女效颦，必定又是一段佳话，有什么原则可言吗？	[(45, '原')]
CHSD-265	虎扑我已经卸载了直男盆自聚集地虎扑让我明白了元来难新比铝型也是键盘侠	虎扑我已经卸载了直男喷子聚集地虎扑让我明白了原来男性比女性也是键盘侠	[(11, '喷'), (12, '子'), (23, '原'), (25, '男'), (26, '性'), (28, '女'), (29, '性')]
CHSD-266	天啊年少不懂事的时候看觉得哇怎么会有书桓这么好的男任到现在才搞懂剧情的我非常恶新这种人	天啊年少不懂事的时候看觉得哇怎么会有书桓这么好的男人到现在才搞懂剧情的我非常恶心这种人	[(26, '人'), (40, '心')]
CHSD-267	我们有很多个田购地方政府，洋纳即才会如此嚣张	我们有很多个舔狗地方政府，洋垃圾才会如此嚣张	[(7, '舔'), (8, '狗'), (15, '垃'), (16, '圾')]
CHSD-268	哈哈哈，对的呀，估计大概是答主干了什么事，导致人家爸妈没看上她，故意恶型她呢。青岛这边可能会有老风俗，但是一般对自己满意的儿媳妇不会这么当面怼的。很有可能是答主觉得自己是上还人，高人一等，去了公婆家指颐气使，让人家很厌烦吧	哈哈哈，对的呀，估计大概是答主干了什么事，导致人家爸妈没看上她，故意恶心她呢。青岛这边可能会有老风俗，但是一般对自己满意的儿媳妇不会这么当面怼的。很有可能是答主觉得自己是上海人，高人一等，去了公婆家指颐气使，让人家很厌烦吧	[(36, '心'), (87, '海')]
CHSD-269	凭什么要设立男厕所和铝车所，为什么要强调”女“厕所，女任哪里需要被区别对待了？	凭什么要设立男厕所和女厕所，为什么要强调”女“厕所，女人哪里需要被区别对待了？	[(11, '女'), (12, '厕'), (28, '人')]
CHSD-270	什么购女人	什么狗女人	[(3, '狗')]
CHSD-271	你这言论和最近那个被捉的铝全之声好像啊，鼓吹中国精子劣等论，结果把中国女孩卖到外国当及，感觉你们是一类人，就是个皮条客。	你这言论和最近那个被捉的女权之声好像啊，鼓吹中国精子劣等论，结果把中国女孩卖到外国当鸡，感觉你们是一类人，就是个皮条客。	[(13, '女'), (14, '权'), (43, '鸡')]
CHSD-272	南省善良，随和，脚踏实地的衡量标准是什么？估计就是买房买车了。这些很主观的标签化概念远比那些直接张嘴要钱的恶新得多。	男生善良，随和，脚踏实地的衡量标准是什么？估计就是买房买车了。这些很主观的标签化概念远比那些直接张嘴要钱的恶心得多。	[(1, '男'), (2, '生'), (55, '心')]
CHSD-273	所以参加黑泯贵的华裔就很搞笑，掂量掂量自己的命是不是还不如黑任	所以参加黑命贵的华裔就很搞笑，掂量掂量自己的命是不是还不如黑人	[(6, '命'), (31, '人')]
CHSD-274	源因很简单啊，知乎是综合社区，金庸是武侠的代表。而仗剑版是武侠自己的地盘，总不能一家垄断。这就好比中国组团去打奥运会，团员绝大多数都是汉族人。到了国内的全运会上，就得或多或少有点少数民族的项目了。	原因很简单啊，知乎是综合社区，金庸是武侠的代表。而仗剑版是武侠自己的地盘，总不能一家垄断。这就好比中国组团去打奥运会，团员绝大多数都是汉族人。到了国内的全运会上，就得或多或少有点少数民族的项目了。	[(1, '原')]
CHSD-275	严重吗？ 很严重，考虑到人口基数，众过人应该是世界上最大的极端右翼和种族主义群体。	严重吗？ 很严重，考虑到人口基数，中国人应该是世界上最大的极端右翼和种族主义群体。	[(18, '中'), (19, '国')]
CHSD-276	不行了，看到这里要吐槽了。现在颜值这么重要的吗？什么不管是反派还是杀人犯只要你帅就可以既往不咎，对不起，是窜脏话出来……我认为只要犯罪，哪怕你帅的惨绝人寰，都要承担相应的责任，什么有颜任性，在我看来就是没三观的购屁！真的气人……	不行了，看到这里要吐槽了。现在颜值这么重要的吗？什么不管是反派还是杀人犯只要你帅就可以既往不咎，对不起，四川脏话出来……我认为只要犯罪，哪怕你帅的惨绝人寰，都要承担相应的责任，什么有颜任性，在我看来就是没三观的狗屁！真的气人……	[(53, '四'), (54, '川'), (106, '狗')]
CHSD-277	许愿人贩子此生无数孩子，个个被拐卖，女的被抢建，男的被打残，全家不得好死，横死街头，老天让我这个愿望灵验吧！！	许愿人贩子此生无数孩子，个个被拐卖，女的被强奸，男的被打残，全家不得好死，横死街头，老天让我这个愿望灵验吧！！	[(22, '强'), (23, '奸')]
CHSD-278	同潍坊的老乡，你观点确实很符合咱们三动人的思想，但是也确实落后了，在曹元上，善良的羊只会被狼吃掉，这和羊善良不善良没有关系，羊终究是要被狼吃掉的。老羊很辛苦，但他的羊孩子们还是会被吃掉，老狼也很辛苦，但他的狼孩子们还是要吃羊的。	同潍坊的老乡，你观点确实很符合咱们山东人的思想，但是也确实落后了，在草原上，善良的羊只会被狼吃掉，这和羊善良不善良没有关系，羊终究是要被狼吃掉的。老羊很辛苦，但他的羊孩子们还是会被吃掉，老狼也很辛苦，但他的狼孩子们还是要吃羊的。	[(18, '山'), (19, '东'), (35, '草'), (36, '原')]
CHSD-279	那汉族人服从外族统治也都是奴性，黑仍罪犯不少所以黑仍都是罪犯？你这不是中组其死吗？王侯将相宁有种乎？罪犯也一样。	那汉族人服从外族统治也都是奴性，黑人罪犯不少所以黑人都是罪犯？你这不是种族歧视吗？王侯将相宁有种乎？罪犯也一样。	[(18, '人'), (26, '人'), (36, '种'), (37, '族'), (38, '歧'), (39, '视')]
CHSD-280	一个戾气满满的人在网上找存在感，现在又装佛系，你是个什么样的人自己没点逼数吗？想挑动别人生气，但是你未免太把自己当回事了，打个哈哈就是心态好了？懂被人素质被你这种人拉低了一大截。看你回复的时间都是半夜三更，真不怕猝死吗？	一个戾气满满的人在网上找存在感，现在又装佛系，你是个什么样的人自己没点逼数吗？想挑动别人生气，但是你未免太把自己当回事了，打个哈哈就是心态好了？东北人素质被你这种人拉低了一大截。看你回复的时间都是半夜三更，真不怕猝死吗？	[(73, '东'), (74, '北')]
CHSD-281	是的，网上歧视辱骂难型的，女的偏多，因为只有天元女全才有空天天上网撕逼，但我无所谓，人为什么要和阴沟里的生物置气呢，反正她们也没资格出现在我的生活中。但生活中，歧视难型的多为难剩，	是的，网上歧视辱骂男性的，女的偏多，因为只有田园女拳才有空天天上网撕逼，但我无所谓，人为什么要和阴沟里的生物置气呢，反正她们也没资格出现在我的生活中。但生活中，歧视男性的多为男生，	[(10, '男'), (11, '性'), (23, '田'), (24, '园'), (26, '拳'), (83, '男'), (84, '性'), (88, '男'), (89, '生')]
CHSD-282	“和南人都爱投仅该”“恐和南人了”“要跟和南人结婚还不如一辈子单身”	“河南人都爱偷井盖”“恐河南人了”“要跟河南人结婚还不如一辈子单身”	[(2, '河'), (7, '偷'), (8, '井'), (9, '盖'), (13, '河'), (21, '河')]
CHSD-283	这就是所谓的是女的被扫扰怪衣服穿的少么？	这就是所谓的是女的被骚扰怪衣服穿的少么？	[(11, '骚')]
CHSD-284	讲道理我在这喝了一年咖啡 小哥应该是懂兰押人，干干净净留个小胡子，但是从来没发现有人围观过他 澳洲这个款真的满大街的哈哈	讲道理我在这喝了一年咖啡 小哥应该是东南亚人，干干净净留个小胡子，但是从来没发现有人围观过他 澳洲这个款真的蛮大街的哈哈	[(19, '东'), (20, '南'), (21, '亚'), (55, '蛮')]
CHSD-285	楼主所说的这些歧视不是真的歧视，真的歧视是因为贫穷带来的，富裕带来的被歧视很多是歧视者的自嘲，为什么这几年动被越来越被歧视，很大元因是动被的经济没落，人们只能出来打工，跟和蓝人被歧视一样，同理黑人被歧视的深层次元因很大元因也是，穷人出现在别人的地盘	楼主所说的这些歧视不是真的歧视，真的歧视是因为贫穷带来的，富裕带来的被歧视很多是歧视者的自嘲，为什么这几年东北越来越被歧视，很大原因是东北的经济没落，人们只能出来打工，跟河南人被歧视一样，同理黑人被歧视的深层次原因很大原因也是，穷人出现在别人的地盘	[(54, '东'), (55, '北'), (65, '原'), (68, '东'), (69, '北'), (86, '河'), (87, '南'), (106, '原'), (110, '原')]
CHSD-286	这也太猎奇了吧，讲道理这比直接抢还恶新点，感觉因赌仍普遍缺乏羞耻心。	这也太猎奇了吧，讲道理这比直接抢还恶心点，感觉印度人普遍缺乏羞耻心。	[(19, '心'), (24, '印'), (25, '度'), (26, '人')]
CHSD-287	建议德语和意大利语都把“再见”换个说法，毕竟Tschüss听起来像“去死”Ciao听起来像“艹。	建议德语和意大利语都把“再见”换个说法，毕竟Tschüss听起来像“去死”Ciao听起来像“艹。	[]
CHSD-288	所以所有和男人都投经该喽	所以所有河南人都偷井盖喽	[(5, '河'), (6, '南'), (9, '偷'), (10, '井'), (11, '盖')]
CHSD-289	African American 歧义非常大，可以是祖籍非洲的路你后代，可以是刚亿闽的非洲非人，另外非洲也有欧洲裔呗人，也有北非阿拉伯人	African American 歧义非常大，可以是祖籍非洲的奴隶后代，可以是刚移民的非洲黑人，另外非洲也有欧洲裔白人，也有北非阿拉伯人	[(32, '奴'), (33, '隶'), (41, '移'), (42, '民'), (46, '黑'), (58, '白')]
CHSD-290	温和的学黑人，极端的学中东佬	温和的学黑人，极端的学中东佬	[]
CHSD-291	逛懂人表示接受不了豆汁.....	广东人表示接受不了豆汁.....	[(1, '广'), (2, '东')]
CHSD-292	我认知到的世界是有歧视观念的人。只要你是哑周人。管你什么懂难压懂被亚的。只要是哑周人统统都是拉几。	我认知到的世界是有歧视观念的人。只要你是亚洲人。管你什么东南亚东北亚的。只要是亚洲人统统都是垃圾。	[(21, '亚'), (22, '洲'), (29, '东'), (30, '南'), (31, '亚'), (32, '东'), (33, '北'), (40, '亚'), (41, '洲'), (47, '垃'), (48, '圾')]
CHSD-293	白左没有绑架价值观吗？你敢在美国说我不喜欢嗨人吗？敢吗？你敢说我恨穆斯林吗？分分钟大帽子扣死你。	白左没有绑架价值观吗？你敢在美国说我不喜欢黑人吗？敢吗？你敢说我恨穆斯林吗？分分钟大帽子扣死你。	[(22, '黑')]
CHSD-294	难仍都那么恶新了吗	男人都那么恶心了吗	[(1, '男'), (2, '人'), (7, '心')]
CHSD-295	这个人是购吧，我去，一路看下来，一开始以为就是普通小情侣吵架，然后以为是普通的出轨女同学，直到三观都被撕裂，人心底里最深处的黑暗，不可直视，令人恐惧	这个人是狗吧，我去，一路看下来，一开始以为就是普通小情侣吵架，然后以为是普通的出轨女同学，直到三观都被撕裂，人心底里最深处的黑暗，不可直视，令人恐惧	[(5, '狗')]
CHSD-296	反正从我爷爷奶奶叔叔把把嘴里说出日奔贵至的时候，我知道他们心里是很厌恶带点恨的！日奔贵至什么意思问你们上一辈就知道了	反正从我爷爷奶奶叔叔爸爸嘴里说出日本鬼子的时候，我知道他们心里是很厌恶带点恨的！日本鬼子什么意思问你们上一辈就知道了	[(11, '爸'), (12, '爸'), (18, '本'), (19, '鬼'), (20, '子'), (42, '本'), (43, '鬼'), (44, '子')]
CHSD-297	小黄人威胁历弱级，我有次被警察拦下来，我是太累了，开车有点抖。	小黄人威胁历弱鸡，我有次被警察拦下来，我是太累了，开车有点抖。	[(8, '鸡')]
CHSD-298	笑日本的确是骂人的话语	小日本的确是骂人的话语	[(1, '小')]
CHSD-299	兹南癌又歧视女型！	直男癌又歧视女性！	[(1, '直'), (2, '男'), (8, '性')]
CHSD-300	失足富女在警局都有备案？你当中国发执照的么？她们被枪件没人管？这都哪儿来的结论。	失足妇女在警局都有备案？你当中国发执照的么？她们被强奸没人管？这都哪儿来的结论。	[(3, '妇'), (26, '强'), (27, '奸')]
CHSD-301	就像光栋人属于困论怒小非仍和北汉混血，具有黑黄混血特征，外貌同样不符合大众审美。	就像广东人属于昆仑奴小黑人和北汉混血，具有黑黄混血特征，外貌同样不符合大众审美。	[(3, '广'), (4, '东'), (8, '昆'), (9, '仑'), (10, '奴'), (12, '黑'), (13, '人')]
CHSD-302	唉，其实我挺讨厌黑人的	唉，其实我挺讨厌黑人的	[]
CHSD-303	河烂投经该确有其事，主要还是穷，穷就想往沿海跑 存在感太强。 河烂没出海口 不可能要求河烂走将数光硐那种路。不过这几年河烂也开始重视了，很多河烂人开始回家乡了，个人不代表所有，不应该易帮自大是所有河烂人	河南偷井盖确有其事，主要还是穷，穷就想往沿海跑 存在感太强。 河南没出海口 不可能要求河南走江苏广东那种路。不过这几年河南也开始重视了，很多河南人开始回家乡了，个人不代表所有，不应该一棒子打死所有河南人	[(2, '南'), (3, '偷'), (4, '井'), (5, '盖'), (33, '南'), (45, '南'), (47, '江'), (48, '苏'), (49, '广'), (50, '东'), (61, '南'), (72, '南'), (92, '一'), (93, '棒'), (94, '子'), (95, '打'), (96, '死'), (100, '南')]
CHSD-304	医生面前无男女？？？前段时间还爆出过医生趁患者麻醉时候抢建的呢	医生面前无男女？？？前段时间还爆出过医生趁患者麻醉时候强奸的呢	[(28, '强'), (29, '奸')]
CHSD-305	中澜请女的女人是当怒你当惯了	重男轻女的女人是当奴隶当惯了	[(1, '重'), (2, '男'), (3, '轻'), (10, '奴'), (11, '隶')]
CHSD-306	欢天喜地七现率里面扫把星也是他	欢天喜地七仙女里面扫把星也是他	[(6, '仙'), (7, '女')]
CHSD-307	因为从群体意义上来讲难型就是比钕型饥渴啊，难型就是没钕型看中自己的贞操啊。	因为从群体意义上来讲男性就是比女性饥渴啊，男性就是没女性看中自己的贞操啊。	[(11, '男'), (12, '性'), (16, '女'), (17, '性'), (22, '男'), (23, '性'), (27, '女'), (28, '性')]
CHSD-308	问题在于真正的非人犯罪率也没离谱到什么程度啊？	问题在于真正的黑人犯罪率也没离谱到什么程度啊？	[(8, '黑')]
CHSD-309	太它马对了我无法回到过去劝那个二十年前的女还找个少喝酒的蓝人至少我的老共不可以是那种恶型的人	太他妈对了我无法回到过去劝那个二十年前的女孩找个少喝酒的男人至少我的老公不可以是那种恶心的人	[(2, '他'), (3, '妈'), (22, '孩'), (29, '男'), (36, '公'), (44, '心')]
CHSD-310	只有难全社会，才会重判抢减。你看瑞典这种女全国家，政客都为墙兼翻开脱，中国女任到现在还在寻求难全的办法，什么时候觉悟能够赶上瑞典女任？	只有男权社会，才会重判强奸。你看瑞典这种女权国家，政客都为强奸犯开脱，中国女人到现在还在寻求男权的办法，什么时候觉悟能够赶上瑞典女人？	[(3, '男'), (4, '权'), (12, '强'), (13, '奸'), (22, '权'), (30, '强'), (31, '奸'), (32, '犯'), (39, '人'), (47, '男'), (48, '权'), (66, '人')]
CHSD-311	楼上吵的好厉害啊我还是想为女孩子说几句现在在我眼中看到的几位追求女全的女型都是亲力亲为哦不会自顾自的享受而不去做事相反她们还满看不起一味索取的做法	楼上吵的好厉害啊我还是想为女孩子说几句现在在我眼中看到的几位追求女权的女性都是亲力亲为哦不会自顾自的享受而不去做事相反她们还蛮看不起一味索取的做法	[(34, '权'), (37, '性'), (63, '蛮')]
CHSD-312	喜欢Estée和她的雅已难砰有还有他们的购购！！！	喜欢Estée和她的亚裔男朋友还有他们的狗狗！！！	[(11, '亚'), (12, '裔'), (13, '男'), (14, '朋'), (15, '友'), (21, '狗'), (22, '狗')]
CHSD-313	校学生会面试时，有个学长问一个和难的学弟：你们和难人投静该吗？	校学生会面试时，有个学长问一个河南的学弟：你们河南人偷井盖吗？	[(16, '河'), (17, '南'), (24, '河'), (25, '南'), (27, '偷'), (28, '井'), (29, '盖')]
CHSD-314	美国嗨任听到别人说他们先辈是怒里，他们是什么想法？	美国黑人听到别人说他们先辈是奴隶，他们是什么想法？	[(3, '黑'), (4, '人'), (15, '奴'), (16, '隶')]
CHSD-315	支持嗨明贵的琊一，基本上可以说是逆向种族主义者，要么纯要么坏，要么又纯又坏。,嘿任现在闹事玩嗨明贵，并不是为了大伙谋平等，而是为了嘿任某特权，谋更多特权。嗨明贵们根本就不同意all,lives,matter。,相比百任，	支持黑命贵的亚裔，基本上可以说是逆向种族主义者，要么蠢要么坏，要么又蠢又坏。,黑人现在闹事玩黑命贵，并不是为了大伙谋平等，而是为了黑人某特权，谋更多特权。黑命贵们根本就不同意all,lives,matter。,相比白人，	[(3, '黑'), (4, '命'), (7, '亚'), (8, '裔'), (27, '蠢'), (35, '蠢'), (40, '黑'), (41, '人'), (47, '黑'), (48, '命'), (66, '黑'), (67, '人'), (78, '黑'), (79, '命'), (108, '白'), (109, '人')]
CHSD-316	不仅仅是铝圈，繁殖癌的父母，男天钩，拖鸟男，归男，	不仅仅是女拳，繁殖癌的父母，男舔狗，鸵鸟男，龟男，	[(5, '女'), (6, '拳'), (16, '舔'), (17, '狗'), (19, '鸵'), (23, '龟')]
CHSD-317	一个欧洲电影真见过……一个欧洲小哥智商很高但是做菜很次…有个超屌的费人朋友……救了一个不小心看到秘密的即女的故事	一个欧洲电影真见过……一个欧洲小哥智商很高但是做菜很次…有个超屌的黑人朋友……救了一个不小心看到秘密的妓女的故事	[(34, '黑'), (52, '妓')]
CHSD-318	一说和难人就是小偷，骗子，投经该什么的。	一说河南人就是小偷，骗子，偷井盖什么的。	[(3, '河'), (4, '南'), (14, '偷'), (15, '井'), (16, '盖')]
CHSD-319	我是看小注的节目认识他的。那一期。嗨任学跳舞就是学的钟的。然后看《上班女郎》就熟悉	我是看小猪的节目认识他的。那一期。黑人学跳舞就是学的钟的。然后看《上班女郎》就熟悉	[(5, '猪'), (18, '黑'), (19, '人')]
CHSD-320	惟女鬼与消硅难养也，男鬼永远跟不上女鬼的逻辑。	惟女鬼与小鬼难养也，男鬼永远跟不上女鬼的逻辑。	[(5, '小'), (6, '鬼')]
CHSD-321	对对对凝下的凉皮真的超好吃！从前住西安 一直对凉皮啥的不感冒一直不吃 直到去凝下才突然爱上了...手抓羊肉也好吃！	对对对宁夏的凉皮真的超好吃！从前住西安 一直对凉皮啥的不感冒一直不吃 直到去宁夏才突然爱上了...手抓羊肉也好吃！	[(4, '宁'), (5, '夏'), (39, '宁'), (40, '夏')]
CHSD-322	娶妻别娶吗保女或者爸宝女，这个更可怕	娶妻别娶妈宝女或者爸宝女，这个更可怕	[(5, '妈'), (6, '宝')]
CHSD-323	水军能滚出知乎吗？昧着良心非任小心正主死全家(元谅我骂人→_→)	水军能滚出知乎吗？昧着良心黑人小心正主死全家(原谅我骂人→_→)	[(14, '黑'), (15, '人'), (24, '原')]
CHSD-324	硫磺岛日崩2万人 美国10万人，美国有制空权和制海权，伤亡比1：1.27 美国人受伤还有救，日崩人受伤只有等死， 所以打的确实还行。如果国家实力相当，日崩人靠精神力就能把摆批足打的屁滚尿流，无论中日关系如何日崩是近代正面打赢过摆批足的第一个荒总人国家	硫磺岛日本2万人 美国10万人，美国有制空权和制海权，伤亡比1：1.27 美国人受伤还有救，日本人受伤只有等死， 所以打的确实还行。如果国家实力相当，日本人靠精神力就能把白皮猪打的屁滚尿流，无论中日关系如何日本是近代正面打赢过白皮猪的第一个黄种人国家	[(5, '本'), (48, '本'), (77, '本'), (86, '白'), (87, '皮'), (88, '猪'), (105, '本'), (114, '白'), (115, '皮'), (116, '猪'), (121, '黄'), (122, '种')]
CHSD-325	以前遇过一栋被人也叫我别打，我真没打，等我搜肥的时候盆自喷死我，从此对栋被人没好感	以前遇过一东北人也叫我别打，我真没打，等我搜肥的时候喷子喷死我，从此对东北人没好感	[(6, '东'), (7, '北'), (27, '喷'), (28, '子'), (36, '东'), (37, '北')]
CHSD-326	你这种人天生的奴性是刻在骨子里的，,不柜天就不舒服，她看完了率券文章再回头看看你的怒拆相，顿时觉得文章说的太对了，面前这不就是个大沙兵吗。所以说你愿意舔，	你这种人天生的奴性是刻在骨子里的，,不跪舔就不舒服，她看完了女权文章再回头看看你的奴才相，顿时觉得文章说的太对了，面前这不就是个大沙兵吗。所以说你愿意舔，	[(20, '跪'), (21, '舔'), (31, '女'), (32, '权'), (42, '奴'), (43, '才')]
